analyze 分析する
enamble 可能にする
promptly 迅速に
decition 決断
address 対処する
rating 評価
affect ～に影響を与える
transparent 透明性のある
honor (約束などを）順守する
teenagers 10代
polish 磨く
lately 最近、この頃
observe 気付く、順守する
sharply 急激に、はっきりと
aile 通路
consist ～から成る
investigate 調査する
urgent 緊急の
dispose 処分する
outlet 店舗、コンセント
situated 位置している
transform 一変させる
undergo 経験する
considerrably かなり
exclusively 限定で、独占的に
preliminary 仮の、暫定の
sophisticated 洗練された、高性能の
modest 少しの、高価でない
patent 特許
pursue 追及する、追い求める
reveal 明らかにする
allowance 手当、小遣い
crucial 非常に重要な
distinguished 際立って優れた、傑出した
disturb 邪魔する、悩ませる
fluent 流ちょうな、堪能な
adequate 十分な、適切な
ovjective 目的、目標
consequence 結果
impose 課す、負わせる、強制する
consent 同意
dependable 信頼できる
diligent 勤勉な、まじめな
independently 単独で、独立して
consentrated 集中的な、濃縮された
controversial 議論を引き起こす
disappointing 期待外れの、がっかりさせるような
instrumental 重要な役割を果たす
perspective 観点、見方、考え方
souvenir 土産物
commuter 通勤者
acclaimed 絶賛されている
superb 素晴らしい
entrepreneur 起業家
